"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.918791674E-3,2.899267695E-1,-1.166851352E-1,2.658231944E-1,4.102863916E-1
1.490679168E-2,3.276440879E-1,-9.381031595E-2,9.920327604E-2,3.549539599E-1
2.489479168E-2,1.818774236E-1,-9.927618351E-2,-2.503368437E-2,2.087147412E-1
3.488279166E-2,4.185105317E-2,-8.910272263E-2,-2.031170690E-1,2.257151957E-1
4.487079167E-2,8.021886516E-2,-9.654732451E-2,-3.792515767E-1,3.994849316E-1
5.485879167E-2,2.370279414E-1,-1.015147169E-1,-5.231907302E-1,5.832803982E-1
6.484679168E-2,4.207570868E-1,-1.121471477E-1,-5.530840355E-1,7.039285895E-1
7.483479168E-2,6.766887657E-1,-8.868632779E-2,-4.323635906E-1,8.079054554E-1
8.482379167E-2,8.650196151E-1,-8.396459151E-2,-2.639965242E-1,9.082968413E-1
9.481179167E-2,8.506073248E-1,-7.327430986E-2,-1.077010345E-1,8.605239441E-1
1.047997917E-1,6.443884541E-1,-1.460601945E-1,5.702614009E-2,6.631908028E-1
1.147877917E-1,4.763888852E-1,-1.975475961E-1,1.904473221E-1,5.497650455E-1
1.247757917E-1,3.985179330E-1,-2.237612486E-1,2.821462816E-1,5.371146651E-1
1.347637917E-1,3.749052316E-1,-2.637520741E-1,3.049276185E-1,5.505451315E-1
1.447517917E-1,3.299441267E-1,-2.815052806E-1,1.970482439E-1,4.763783792E-1
1.547397917E-1,2.569935333E-1,-2.806767301E-1,1.153901231E-1,3.976681827E-1
1.647277917E-1,3.151846580E-1,-3.008638767E-1,7.285396814E-2,4.417783852E-1
1.747157917E-1,4.528289185E-1,-3.238943416E-1,1.353273743E-1,5.729529406E-1
1.847037917E-1,5.717525871E-1,-3.464905410E-1,2.477582216E-1,7.129802608E-1
1.946917917E-1,6.142628682E-1,-3.809568440E-1,3.055591178E-1,7.847377668E-1
2.046797917E-1,6.382649575E-1,-3.552345769E-1,3.211366850E-1,7.979364205E-1
2.146677917E-1,6.394169321E-1,-3.170858802E-1,2.746776330E-1,7.647517705E-1
2.246557917E-1,6.278726280E-1,-2.955568342E-1,3.107672328E-1,7.603644864E-1
2.346437917E-1,6.921504850E-1,-3.005778748E-1,3.259851962E-1,8.220010346E-1
2.446327917E-1,7.189438889E-1,-2.750727221E-1,2.457052642E-1,8.080324218E-1
2.546207917E-1,7.388658643E-1,-2.695783676E-1,5.728341758E-2,7.885915620E-1
2.646087917E-1,8.570775613E-1,-2.822717775E-1,-1.504997295E-1,9.148275636E-1
2.745967917E-1,9.558794991E-1,-2.968693148E-1,-3.491009939E-1,1.060051183E0
2.845847917E-1,1.036977164E0,-2.981150641E-1,-5.096906787E-1,1.193305836E0
2.945727917E-1,1.117875512E0,-2.549111754E-1,-6.578784192E-1,1.321903697E0
3.045607917E-1,1.134532768E0,-2.362444327E-1,-7.677195346E-1,1.390096873E0
3.145487917E-1,1.161185546E0,-2.169676245E-1,-8.606171733E-1,1.461536432E0
3.245367917E-1,1.231772257E0,-1.875842695E-1,-1.012617883E0,1.605567105E0
3.345247917E-1,1.345950106E0,-2.607676552E-1,-1.030005748E0,1.714786663E0
3.445127917E-1,1.492797080E0,-2.824290310E-1,-8.881751007E-1,1.759847803E0
3.545007917E-1,1.561092412E0,-2.840050201E-1,-6.716509509E-1,1.723015778E0
3.644887917E-1,1.584220635E0,-2.511708394E-1,-4.204264998E-1,1.658191863E0
3.744767917E-1,1.587460724E0,-2.381308541E-1,-8.101609647E-2,1.607265212E0
3.844647917E-1,1.556872915E0,-2.084884675E-1,2.107558715E-1,1.584846602E0
3.944527917E-1,1.473611634E0,-1.834371318E-1,4.076918489E-1,1.539932815E0
4.044417917E-1,1.419056674E0,-1.774962145E-1,5.831825781E-1,1.544450928E0
4.144297917E-1,1.443283004E0,-1.569811122E-1,6.341773152E-1,1.584263162E0
4.244177917E-1,1.392552561E0,-1.383868660E-1,5.429794621E-1,1.501059711E0
4.344057917E-1,1.369855278E0,-1.712251123E-1,3.423813736E-1,1.422338400E0
4.443937917E-1,1.345890464E0,-2.495308599E-1,1.075419903E-1,1.373044818E0
4.543817917E-1,1.342413710E0,-3.339749779E-1,-1.167133480E-1,1.388249207E0
4.643697917E-1,1.469790186E0,-3.362952261E-1,-1.902836001E-1,1.519732055E0
4.743577917E-1,1.559901334E0,-3.590867957E-1,-1.706562513E-1,1.609769877E0
4.843457917E-1,1.560905594E0,-3.957599475E-1,-1.753498113E-1,1.619814732E0
4.943337917E-1,1.532911903E0,-4.465120983E-1,-1.882101774E-1,1.607673793E0
5.043217917E-1,1.548595304E0,-4.863847369E-1,-1.346590376E-1,1.628757375E0
5.143097917E-1,1.593755544E0,-5.250298257E-1,-1.657562846E-1,1.686175613E0
5.242977917E-1,1.666374600E0,-5.474152330E-1,-1.659638608E-1,1.761820578E0
5.342857917E-1,1.672781102E0,-5.820672217E-1,-1.902912015E-1,1.781350501E0
5.442737917E-1,1.596853545E0,-5.914544879E-1,-2.211071974E-1,1.717162790E0
5.542617917E-1,1.556764742E0,-5.609049788E-1,-3.293625480E-1,1.687190133E0
5.642507917E-1,1.518818066E0,-4.953469105E-1,-4.616277355E-1,1.662912219E0
5.742387917E-1,1.570587852E0,-4.649739508E-1,-5.164038670E-1,1.717445757E0
5.842267917E-1,1.641390763E0,-4.387423182E-1,-5.353079152E-1,1.781351460E0
5.942147917E-1,1.608738595E0,-4.391082077E-1,-5.005029488E-1,1.741079862E0
6.042027917E-1,1.543126696E0,-4.674586520E-1,-4.058061218E-1,1.662659376E0
6.141907917E-1,1.505189815E0,-4.675523171E-1,-1.989427418E-1,1.588640854E0
6.241787917E-1,1.489711212E0,-3.952458311E-1,9.002022386E-2,1.543879011E0
6.341667917E-1,1.435214869E0,-3.112698741E-1,2.355498201E-1,1.487351463E0
6.441547917E-1,1.320477588E0,-2.714016574E-1,4.221426576E-1,1.412630292E0
6.541427917E-1,1.139641992E0,-2.701554696E-1,6.259567147E-1,1.328002130E0
6.641307917E-1,9.449697641E-1,-3.094679084E-1,7.722476184E-1,1.259009383E0
6.741187917E-1,7.579526380E-1,-3.721398641E-1,8.967003411E-1,1.231686560E0
6.841067917E-1,6.203117397E-1,-4.347585736E-1,9.595690191E-1,1.222527862E0
6.940947917E-1,5.528819411E-1,-4.684659080E-1,9.884583575E-1,1.225638067E0
7.040827917E-1,5.533108344E-1,-4.127322584E-1,1.092810107E0,1.292569041E0
7.140707917E-1,5.522532924E-1,-2.714841762E-1,1.164039134E0,1.316690724E0
7.240597917E-1,5.195796360E-1,-1.702531954E-1,1.135247444E0,1.260053930E0
7.340477917E-1,5.684646977E-1,-1.381694866E-1,1.076548415E0,1.225234431E0
7.440357917E-1,5.251588299E-1,-6.281124735E-2,8.945444727E-1,1.039204919E0
7.540237917E-1,4.227270868E-1,6.415400561E-3,7.141555309E-1,8.299141339E-1
7.640117917E-1,3.442757984E-1,7.330045788E-2,6.795031768E-1,7.652603151E-1
7.739997917E-1,3.408431905E-1,2.361706116E-1,7.402645183E-1,8.484940750E-1
7.839877917E-1,3.121612090E-1,3.366812886E-1,1.127367736E0,1.217274383E0
7.939757917E-1,1.615041163E-1,4.054924918E-1,1.617005973E0,1.674877924E0
8.039637917E-1,-9.060962319E-2,3.740118136E-1,1.993024040E0,2.029837374E0
8.139517917E-1,-2.573567916E-1,2.813994825E-1,2.278176960E0,2.309871955E0
8.239397917E-1,-2.914487632E-1,1.831087376E-1,2.384213877E0,2.408930676E0
8.339277917E-1,-2.140550899E-1,8.678627506E-2,2.378871276E0,2.390058574E0
8.439164167E-1,-1.971575868E-1,4.359783576E-2,2.131189068E0,2.140733222E0
8.539044167E-1,-2.229700472E-1,3.518747485E-2,1.526214502E0,1.542817068E0
8.638924167E-1,-2.336764453E-1,6.270176738E-2,7.840677649E-1,8.205476541E-1
8.738814167E-1,-2.498101558E-1,9.781982481E-2,1.687874812E-1,3.169590602E-1
8.838694167E-1,-2.315196267E-1,7.840186117E-2,-2.363994205E-1,3.400483427E-1
8.938574167E-1,-5.540090650E-2,5.398494842E-2,-4.968314821E-1,5.028172199E-1
9.038454167E-1,1.202485015E-1,7.936274143E-2,-7.432857746E-1,7.571207893E-1
9.138334167E-1,1.522539673E-1,1.759420977E-1,-9.800915766E-1,1.007331321E0
9.238214167E-1,8.431889623E-2,2.717731018E-1,-1.235187469E0,1.267540287E0
9.338094167E-1,-5.250083372E-2,3.816575597E-1,-1.326551968E0,1.381361268E0
9.437974167E-1,-1.329431722E-1,5.126465924E-1,-1.136689367E0,1.254010819E0
